date,description,amount,category,amount_abs
04/22,CURSOR AI POWERED IDE,651.0,Technology/Software,651.0
04/29,ADOBE SOFTWARE,1900.0,Technology/Software,1900.0
04/29,OPENAI *CHATGPT SUBSCR,652.0,Technology/Software,652.0
04/30,FIGMA PRO SUBSCRIPTION,4357.0,Technology/Software,4357.0
05/05,HEYGEN VIDEO AI,936.0,Technology/Software,936.0
05/06,REPORTDASH ANALYTICS,9744.0,Technology/Software,9744.0
05/07,ANTHROPIC CLAUDE API,690.0,Technology/Software,690.0
05/13,CURSOR USAGE APR,378.0,Technology/Software,378.0
05/13,LEONARDO AI CREDITS,305.0,Technology/Software,305.0
05/19,GOOGLE CLOUD SERVICES,149.0,Technology/Software,149.0
04/22,ABC Restaurant,780.0,Food & Dining,780.0
04/25,Coffee Shop Downtown,165.0,Food & Dining,165.0
04/28,Italian Bistro,1914.0,Food & Dining,1914.0
05/02,Supermarket Chain,473.0,Food & Dining,473.0
05/07,Burger Restaurant,597.0,Food & Dining,597.0
05/11,Asian Cuisine,2288.0,Food & Dining,2288.0
04/22,Taxi Service,120.0,Transportation,120.0
05/06,Gas Station,840.0,Transportation,840.0
05/13,Public Transport,108.0,Transportation,108.0
05/19,Ride Share Service,120.0,Transportation,120.0
04/24,Electronics Store,1160.0,Shopping,1160.0
05/06,Hardware Store,120.0,Shopping,120.0
05/14,Home Goods Store,155.0,Shopping,155.0
05/16,Department Store,1843.0,Shopping,1843.0
04/20,Entertainment Center,9285.0,Entertainment,9285.0
05/03,Movie Theater,315.0,Entertainment,315.0
05/06,Gaming Platform,10470.0,Entertainment,10470.0
04/18,Bank Fee,94.0,Bills & Utilities,94.0
04/20,International Fee,5.0,Bills & Utilities,5.0
05/15,Service Charge,85.0,Bills & Utilities,85.0 
